4,2,4,1,7,7,8,6,15,1,5,1,7,4,3,10,9,1,3,4,1,4,1,3,4,1,1,13,4,4,6,1,3,3,3,7,5,3,1,20,4,6,2,4,5,5,4,3,4,6,5,6,4,3,5,4,3,2,7,7,3,3,4,7,3,4,4,17,3,5,14,2,11,6,4,5,3,4,5,19,7,6,6,9,2,12,4,6,6,19,7,2,7,4,3,9,5,3,4,6,5,3,3,11,8,0,6,3,8,5
9,5,5,1,8,12,12,6,22,5,8,1,8,5,3,13,13,7,3,6,2,6,2,5,5,3,2,13,7,6,11,1,6,5,8,10,6,4,2,20,5,10,2,5,7,5,5,4,5,19,9,10,4,3,6,7,4,6,10,14,4,5,4,8,5,8,5,18,3,5,16,29,15,6,7,5,4,6,7,28,8,11,7,11,8,21,9,8,6,19,12,5,13,5,5,10,7,4,6,6,7,6,5,,11,1,11,4,13,7
10,6,5,3,8,13,13,7,24,9,14,1,14,7,4,14,14,9,3,7,5,10,3,5,6,3,2,13,8,6,15,3,6,5,8,13,8,6,3,20,7,11,2,6,11,7,5,5,5,23,13,13,5,3,10,10,6,9,13,16,6,5,8,10,5,8,5,18,5,6,20,29,21,8,8,5,4,7,7,31,12,11,8,12,11,31,13,12,9,19,18,5,27,6,5,12,10,6,8,7,7,9,5,,15,1,15,6,15,7
10,8,5,3,9,16,15,8,26,10,16,3,16,9,4,14,14,11,3,7,7,11,5,5,7,3,2,13,9,6,15,4,8,5,9,13,10,7,4,20,7,12,2,10,15,8,5,5,5,27,13,15,6,3,14,12,9,9,16,18,7,7,10,10,5,9,6,18,5,7,23,29,23,11,9,5,5,7,7,35,14,11,8,14,13,38,13,15,10,19,26,7,27,7,5,17,11,7,8,15,7,12,6,,17,2,18,9,15,8
10,9,5,4,9,16,15,8,31,10,18,4,16,9,4,14,15,11,5,8,8,11,5,5,7,4,3,13,9,6,15,5,9,5,9,15,10,8,4,20,7,13,2,10,17,8,5,5,5,34,13,16,6,4,14,13,9,9,17,18,8,7,10,10,5,10,8,18,5,7,25,29,24,12,9,5,6,7,9,37,17,15,8,14,15,46,14,15,10,19,27,9,27,8,7,19,12,8,8,15,8,14,6,,18,4,19,9,19,8
12,10,7,4,9,18,15,8,33,12,22,4,17,11,4,15,15,11,5,8,8,11,5,6,7,4,3,13,9,6,15,5,10,5,10,15,10,8,4,20,7,13,2,10,19,8,6,5,5,36,13,19,6,4,14,13,9,10,17,18,8,8,10,12,6,10,8,18,6,7,27,29,24,14,9,5,6,7,10,37,21,17,9,14,16,50,14,15,11,19,30,9,27,9,8,20,12,8,8,15,9,14,7,,18,4,19,9,19,8
14,10,8,4,9,18,15,9,35,12,22,4,18,11,4,15,16,11,5,8,9,11,7,6,8,4,3,13,9,6,15,7,10,5,10,15,11,10,5,20,7,13,2,10,19,8,6,5,5,36,13,20,6,4,14,14,11,10,18,19,8,8,10,12,6,10,9,18,6,7,29,30,27,16,9,5,7,8,10,39,23,17,9,14,20,56,14,15,12,19,32,12,27,9,8,21,12,8,8,15,9,14,7,,20,4,23,10,19,8
17,10,8,4,9,18,15,9,,13,22,4,18,11,5,15,17,11,7,8,11,11,7,7,8,4,3,13,9,7,15,7,10,5,10,16,11,10,5,20,7,13,3,10,20,8,6,6,5,38,14,20,6,4,14,14,11,10,18,21,8,8,10,12,6,10,9,18,6,8,30,31,27,17,9,5,7,8,12,40,,17,9,14,23,57,15,16,12,19,32,14,27,9,8,24,12,9,9,15,9,14,7,,20,4,23,10,19,8
17,10,8,6,9,18,15,9,,13,22,4,18,12,5,15,17,12,7,8,11,11,7,7,8,4,3,13,9,7,15,8,11,6,11,16,12,10,5,20,7,13,3,10,21,8,6,7,5,42,15,20,6,4,14,14,11,10,18,,8,8,10,12,9,10,9,18,6,8,31,31,28,18,9,5,7,8,12,43,,18,9,14,24,58,15,16,13,19,34,14,27,9,8,25,12,11,9,15,9,14,9,,21,4,23,10,19,8
17,10,8,6,9,19,15,9,,,22,4,18,12,5,18,17,12,8,8,11,11,7,7,10,5,3,13,9,7,15,8,11,6,11,16,12,10,6,20,7,13,3,10,22,8,6,7,5,44,15,20,6,4,14,14,11,11,19,,8,8,11,12,9,10,9,18,6,8,32,31,29,18,9,5,7,8,12,43,,19,9,14,24,63,15,17,13,19,34,14,27,10,8,26,12,12,9,15,9,14,9,,22,4,23,10,19,8
17,10,8,6,9,20,15,12,,,22,4,18,13,5,18,17,12,8,8,11,11,7,8,10,5,3,13,9,8,15,,11,6,11,16,12,10,6,20,7,13,3,10,22,8,6,7,5,45,15,20,6,4,15,14,11,11,20,,8,8,11,12,9,11,9,18,7,8,32,31,29,20,9,5,7,8,12,56,,25,9,14,25,67,18,17,13,19,34,15,27,10,8,27,12,13,9,15,9,14,9,,24,4,23,10,19,8
17,10,8,6,9,20,16,12,,,22,4,18,13,7,18,17,12,8,8,11,11,7,8,10,5,3,13,9,8,15,,,6,11,16,13,10,6,20,7,13,4,10,22,8,7,7,5,46,15,20,6,4,15,14,11,11,21,,8,8,12,12,9,11,9,18,7,9,32,31,29,21,9,5,7,8,12,57,,25,9,14,25,68,18,17,13,19,35,15,27,10,8,27,12,14,9,15,9,14,9,,24,4,23,10,20,8
17,10,8,6,9,20,17,12,,,22,4,18,13,7,19,17,12,9,8,11,11,7,8,10,5,3,13,9,8,15,,,,11,22,13,10,6,20,7,13,4,10,23,8,7,7,5,46,16,20,6,5,15,14,11,11,21,,8,8,12,12,9,11,9,18,7,9,32,31,30,21,9,5,7,8,12,57,,26,9,14,25,68,18,17,13,19,41,16,28,10,8,27,12,14,9,15,9,14,9,,24,4,23,10,20,8
17,10,8,6,9,20,18,12,,,22,4,18,14,7,19,17,12,9,8,11,11,7,8,10,5,3,13,9,8,15,,,,11,22,14,10,6,20,7,13,4,10,25,8,8,7,5,46,16,20,6,5,15,14,11,11,21,,8,8,12,12,9,11,9,18,7,9,32,32,30,21,9,5,7,8,12,57,,26,9,14,27,72,18,17,14,19,41,17,28,10,8,27,12,14,9,15,9,14,9,,24,4,23,10,20,8
17,10,8,6,9,20,18,12,,,22,4,18,14,7,19,17,14,9,8,11,11,7,8,10,5,3,14,9,8,15,,,,11,22,,10,6,20,7,13,4,10,26,8,11,7,5,46,16,20,6,6,15,13,11,11,21,,8,8,12,14,9,11,10,18,7,9,32,32,32,21,9,5,7,9,12,57,,26,9,14,27,73,18,17,14,19,42,17,28,11,8,27,12,14,9,15,9,14,9,,24,4,23,10,20,8
17,10,8,6,9,20,18,12,,,22,4,18,14,7,19,17,14,10,8,11,11,7,8,10,5,3,14,9,8,15,,,,11,22,,10,6,20,7,13,4,10,26,8,11,7,5,47,16,20,6,6,15,13,11,11,21,,8,8,12,14,9,11,10,18,7,9,32,32,41,21,9,5,7,9,12,57,,26,9,14,27,74,18,17,14,19,42,17,28,11,8,27,12,14,9,15,9,14,9,,24,4,23,10,20,8
17,10,8,6,9,20,19,12,,,22,5,18,14,7,19,17,14,10,11,11,11,7,8,10,5,3,14,9,8,15,,,,11,22,,10,6,20,7,13,4,10,26,8,11,7,5,47,16,20,6,6,15,13,11,11,22,,8,8,12,14,9,11,10,18,8,9,32,32,41,21,9,5,7,9,12,57,,26,9,14,27,75,18,17,14,19,42,17,28,11,8,31,12,14,,15,9,14,9,,24,4,23,10,20,8
17,10,8,6,9,20,19,12,,,22,5,19,14,7,19,17,14,10,11,11,11,7,8,10,5,3,14,9,8,15,,,,11,22,,10,6,21,7,13,4,10,26,8,11,7,5,48,16,20,6,6,15,13,11,11,23,,8,8,12,14,9,11,10,18,8,9,32,,42,21,9,5,7,9,12,57,,26,9,14,27,75,18,17,14,19,42,19,28,11,8,31,12,14,,15,9,14,9,,24,4,23,10,20,8
17,10,8,6,9,20,19,12,,,22,5,19,15,7,19,17,14,10,11,11,11,7,8,10,5,3,14,9,8,15,,,,11,22,,10,6,21,7,13,4,10,26,8,12,7,6,48,16,20,6,6,15,13,11,11,23,,8,8,12,14,9,11,10,18,8,9,33,,42,21,9,5,7,9,12,57,,26,9,14,27,78,18,17,14,19,43,20,28,11,8,32,12,14,,15,9,14,9,,24,,23,10,20,8
17,10,8,6,9,20,19,12,,,22,5,19,15,7,19,17,14,10,11,11,11,7,8,10,5,3,14,9,8,15,,,,11,22,,10,6,21,7,13,4,10,27,8,12,7,6,48,16,20,6,6,15,13,11,11,23,,8,8,13,14,9,11,10,19,9,9,33,,42,21,9,5,7,9,12,57,,26,9,14,27,78,18,17,14,19,43,21,28,11,8,32,12,14,,15,9,15,9,,24,,23,10,20,8
17,10,8,6,9,20,19,12,,,22,5,19,15,7,19,19,14,10,11,11,11,7,8,10,5,3,14,9,8,15,,,,11,22,,10,6,21,7,13,4,10,27,8,12,7,6,48,16,20,6,6,15,13,11,11,24,,8,,13,14,9,11,10,19,9,9,33,,42,21,9,5,7,9,12,57,,26,9,14,27,78,18,17,14,19,43,22,28,11,8,32,12,14,,15,9,15,9,,24,,24,10,20,8
17,10,8,6,9,20,19,12,,,22,5,19,15,7,19,19,14,10,11,12,11,7,8,10,5,3,14,9,8,15,,,,11,22,,10,6,21,7,13,4,10,27,8,12,7,7,48,16,20,6,6,15,13,11,11,24,,8,,13,14,9,11,10,19,10,9,33,,42,21,9,5,7,9,12,57,,26,9,14,27,78,18,,14,19,43,22,28,11,8,32,12,14,,15,9,15,9,,24,,24,10,20,8
17,10,8,6,9,20,20,12,,,22,5,19,15,7,19,20,14,10,11,12,11,7,8,10,5,3,14,9,8,15,,,,11,22,,10,6,21,7,13,4,10,27,8,12,7,7,48,16,20,6,6,15,13,11,11,24,,8,,13,14,9,11,10,19,10,9,33,,42,21,9,5,7,9,12,57,,,9,14,27,79,,,14,19,43,22,28,11,8,32,12,14,,15,9,15,9,,24,,24,10,20,8
17,10,8,6,9,20,20,12,,,22,5,19,15,7,19,20,14,10,11,12,11,7,8,10,5,3,14,9,8,15,,,,11,22,,10,6,21,7,13,4,10,27,8,12,7,7,48,16,20,6,6,15,13,11,11,24,,8,,13,14,9,11,10,19,10,9,33,,42,21,9,6,7,9,12,57,,,9,14,27,79,,,14,19,43,22,28,11,8,32,12,14,,15,9,15,9,,24,,24,10,20,8
17,10,9,6,9,20,21,12,,,22,5,19,15,7,19,20,14,10,11,12,11,7,8,10,5,3,14,9,8,15,,,,11,22,,10,6,21,7,13,4,10,27,8,12,7,7,48,16,20,6,6,15,13,11,11,24,,8,,13,14,9,,10,19,10,9,33,,42,21,9,6,7,9,12,57,,,9,14,27,80,,,14,19,43,22,28,11,8,32,12,14,,15,9,15,9,,24,,24,10,,8
,10,9,6,9,20,21,12,,,22,5,19,15,7,19,20,14,10,11,12,11,7,8,10,5,3,14,9,8,15,,,,11,22,,10,6,21,7,13,4,10,27,8,12,7,7,48,16,20,6,6,15,13,11,11,24,,8,,13,14,9,,10,19,11,9,33,,42,21,9,6,7,9,12,57,,,9,14,,81,,,14,19,,22,28,11,8,32,12,14,,15,9,15,9,,24,,24,10,,8
,10,9,6,9,21,21,12,,,22,5,19,15,7,19,20,15,10,11,12,11,7,8,10,5,3,14,9,8,15,,,,11,22,,10,6,21,7,13,4,10,28,8,12,7,7,48,16,20,6,6,15,13,11,11,24,,8,,13,14,9,,10,19,11,9,33,,42,21,9,6,7,9,12,57,,,9,14,,81,,,14,19,,22,28,11,8,32,12,15,,15,9,15,9,,24,,24,10,,8
,10,9,6,9,21,21,12,,,22,5,19,15,7,19,20,15,10,11,12,11,7,8,10,5,3,14,9,8,15,,,,11,22,,10,6,21,7,13,4,10,28,8,12,7,7,50,16,20,6,6,15,13,11,11,24,,8,,13,14,9,,10,19,11,9,33,,42,21,9,6,7,9,12,57,,,9,14,,81,,,14,19,,22,28,11,9,32,12,15,,15,9,15,9,,24,,24,10,,8
,10,10,6,9,21,21,12,,,22,5,19,15,7,19,20,15,10,11,12,11,7,8,10,5,3,14,9,8,15,,,,11,22,,10,6,21,7,13,4,10,29,8,12,7,7,50,16,20,6,6,15,13,11,11,24,,8,,13,14,9,,10,19,11,9,33,,,21,9,6,7,9,12,57,,,9,14,,81,,,14,19,,22,28,11,9,32,12,15,,15,9,15,9,,24,,24,10,,8
,10,10,6,9,21,21,12,,,22,5,19,15,7,19,20,15,10,11,12,11,7,8,10,5,4,14,9,8,15,,,,11,22,,10,6,21,7,13,4,10,29,8,12,7,7,50,16,20,6,6,15,13,11,11,24,,8,,13,14,9,,10,19,11,9,33,,,21,9,6,7,9,12,57,,,9,14,,81,,,14,19,,22,28,11,9,,12,15,,15,9,15,9,,24,,24,10,,8
,10,9,6,9,21,21,12,,,22,5,19,15,7,19,20,15,11,11,12,11,7,8,10,5,4,14,9,8,15,,,,11,22,,10,6,21,7,13,4,10,29,8,12,7,7,50,16,20,6,6,15,13,11,11,24,,8,,13,14,9,,11,19,11,9,33,,,21,9,6,7,9,12,57,,,9,14,,81,,,14,19,,22,28,11,9,,12,15,,15,9,15,9,,24,,24,10,,8
,10,9,6,9,21,21,12,,,22,5,19,15,7,19,20,15,11,11,12,11,7,8,10,5,4,14,9,8,15,,,,11,22,,10,6,21,7,13,4,10,32,8,12,7,7,50,16,20,6,6,15,13,11,11,24,,8,,13,14,9,,11,19,11,9,33,,,21,9,6,7,9,12,57,,,9,14,,81,,,14,19,,22,28,11,9,,12,16,,15,9,15,9,,24,,24,10,,8
,10,9,6,9,21,21,12,,,22,5,19,15,7,19,20,15,11,11,12,11,7,8,10,5,4,14,9,8,15,,,,11,,,10,6,20,7,13,4,10,32,8,12,7,7,50,16,20,6,6,15,13,11,11,24,,8,,13,14,9,,11,19,11,9,33,,,21,9,6,7,9,12,57,,,9,14,,81,,,14,19,,22,28,11,9,,12,16,,15,9,15,9,,24,,24,10,,8
,10,9,6,9,21,21,12,,,22,5,19,15,7,19,20,15,11,11,12,11,7,8,10,5,4,14,9,8,15,,,,11,,,10,6,20,7,13,4,10,32,8,12,7,7,50,16,20,6,7,15,13,11,11,25,,8,,13,14,9,,11,19,11,9,33,,,21,9,6,7,9,12,57,,,9,14,,81,,,14,19,,22,28,11,9,,12,16,,15,9,15,9,,24,,24,10,,8
,10,9,6,9,21,21,12,,,22,5,19,15,7,19,20,,11,,12,11,7,8,10,5,4,14,9,8,15,,,,11,,,10,6,20,7,13,4,10,32,8,12,7,7,50,16,20,6,7,15,13,11,11,25,,8,,13,14,9,,11,19,11,9,33,,,21,9,6,7,9,12,57,,,9,14,,81,,,14,19,,22,28,11,9,,12,16,,15,9,15,9,,24,,24,10,,8
,10,9,6,9,21,21,12,,,22,5,19,15,7,19,20,,11,,12,11,7,8,10,5,4,14,9,8,15,,,,11,,,10,6,21,7,13,4,10,32,8,12,7,7,50,16,20,6,7,15,13,11,11,25,,8,,13,14,9,,11,19,11,9,,,,21,9,6,7,9,12,57,,,9,14,,81,,,14,19,,22,28,11,9,,12,16,,15,9,15,9,,24,,24,10,,8
,10,9,6,9,21,21,12,,,22,,19,15,7,19,20,,11,,12,11,7,8,10,5,4,14,9,8,15,,,,11,,,10,6,21,7,,4,10,32,8,12,7,7,50,16,20,6,9,15,13,11,11,25,,8,,13,14,9,,11,19,11,9,,,,21,9,6,7,9,12,57,,,9,14,,81,,,14,19,,22,28,11,9,,12,16,,15,9,15,9,,24,,24,10,,8
,10,9,6,9,21,21,12,,,22,,,15,7,19,20,,11,,12,11,7,8,10,5,4,14,9,8,15,,,,11,,,10,6,21,7,,4,10,32,8,12,7,7,50,16,20,6,9,15,13,11,11,25,,8,,13,14,9,,11,19,11,9,,,,21,9,6,7,9,12,57,,,9,14,,81,,,14,19,,22,28,11,9,,12,16,,15,9,15,9,,24,,24,10,,8
,10,9,6,9,21,21,12,,,22,,,15,7,19,20,,11,,12,11,7,8,10,5,4,14,9,8,15,,,,11,,,10,6,21,7,,4,10,32,8,12,7,7,50,16,20,6,9,15,13,11,11,25,,8,,13,14,9,,11,19,11,9,,,,21,9,6,7,9,12,57,,,9,14,,81,,,14,19,,22,28,11,9,,12,16,,15,9,15,9,,24,,24,10,,8
,10,9,6,9,21,21,12,,,22,,,15,7,19,20,,11,,12,11,7,8,10,5,4,14,9,8,15,,,,11,,,10,6,21,7,,4,10,32,8,12,7,7,50,16,20,6,9,15,13,11,11,25,,8,,13,14,9,,11,19,11,9,,,,21,9,6,7,9,12,57,,,9,14,,81,,,14,19,,22,28,11,9,,12,16,,15,9,15,9,,24,,24,10,,8
,10,9,6,9,21,21,12,,,22,,,15,7,19,,,11,,12,11,7,8,10,5,4,14,9,8,15,,,,11,,,10,6,21,7,,4,10,32,8,12,7,7,50,16,20,6,9,15,13,11,11,25,,8,,13,14,9,,11,19,11,9,,,,21,9,6,7,9,12,57,,,9,14,,81,,,14,19,,22,28,11,9,,12,16,,15,9,15,9,,24,,24,10,,8
,10,9,6,9,21,21,12,,,22,,,15,7,19,,,11,,12,11,7,8,10,5,4,14,9,8,15,,,,11,,,10,6,21,7,,4,10,32,8,12,7,7,50,16,20,6,9,15,13,11,11,25,,8,,13,14,9,,11,19,11,9,,,,21,9,6,7,9,12,57,,,9,14,,81,,,14,19,,22,28,11,9,,12,16,,15,9,15,9,,24,,24,10,,8
,10,9,6,9,21,21,12,,,22,,,15,7,19,,,11,,12,11,7,8,10,5,4,14,9,8,15,,,,11,,,10,6,21,7,,4,10,32,8,12,7,7,50,16,20,6,9,15,13,11,11,25,,8,,13,14,9,,11,19,11,9,,,,21,9,6,7,9,12,57,,,9,14,,81,,,14,19,,22,28,11,9,,12,16,,15,9,15,9,,24,,24,10,,8
,10,9,6,9,21,21,12,,,22,,,15,7,19,,,11,,12,11,7,8,10,,4,14,9,8,15,,,,11,,,10,6,21,7,,4,10,33,8,12,7,7,50,16,20,6,9,15,13,11,11,25,,8,,13,14,9,,11,19,11,9,,,,21,9,6,7,9,12,57,,,9,14,,81,,,14,19,,22,28,11,9,,12,16,,15,9,15,9,,24,,24,10,,8
,10,9,6,9,21,21,12,,,22,,,15,7,19,,,11,,12,11,7,8,10,,4,14,9,8,15,,,,11,,,10,6,21,7,,4,10,33,8,12,7,7,50,16,20,6,9,15,13,11,11,25,,8,,13,14,9,,11,19,11,9,,,,21,9,6,7,9,12,58,,,9,14,,81,,,14,19,,22,28,11,9,,12,16,,15,9,15,9,,24,,24,10,,8
,10,9,6,9,21,21,12,,,22,,,15,7,19,,,11,,12,11,7,8,10,,4,14,9,8,15,,,,11,,,10,6,21,7,,4,10,33,8,12,7,7,50,16,20,6,9,15,13,11,11,25,,8,,13,14,9,,11,20,11,9,,,,21,9,6,7,9,12,58,,,9,14,,81,,,14,19,,22,28,11,9,,12,16,,15,9,15,9,,24,,24,10,,8
,10,9,6,9,21,21,12,,,22,,,15,7,19,,,11,,12,11,7,8,10,,4,14,9,8,15,,,,11,,,10,6,21,7,,4,10,33,8,12,7,7,50,16,20,6,9,15,13,11,11,25,,8,,13,14,9,,11,20,11,9,,,,21,9,6,7,9,12,58,,,9,14,,81,,,14,19,,23,28,11,9,,12,16,,15,9,15,9,,24,,24,10,,8
,10,9,6,9,21,21,12,,,22,,,15,7,19,,,11,,12,11,7,8,10,,4,14,9,8,15,,,,11,,,10,6,21,7,,4,10,33,8,12,7,7,50,16,20,6,9,15,13,11,11,25,,8,,13,14,9,,11,20,11,9,,,,21,9,6,7,9,12,58,,,9,14,,82,,,14,19,,23,28,11,9,,12,,,15,9,15,9,,24,,24,10,,8
,10,9,6,9,21,21,12,,,22,,,15,7,19,,,11,,12,11,7,8,10,,4,14,9,8,15,,,,11,,,10,6,21,7,,4,10,33,8,12,7,7,50,16,20,6,9,15,13,11,11,25,,8,,13,14,9,,11,20,11,9,,,,21,9,6,7,9,12,58,,,9,14,,83,,,14,19,,23,28,11,9,,12,,,15,9,15,9,,24,,24,10,,8
