tweet_id,tweet_text,hash_tags,news_channel
604518890001940482,BJP protests against outside Delhi CM Kejriwals residence,,
604520441084932096,JUST IN Students protest raise slogans against outside IIT  Madras,,
604520670379188226,In my next incarnation Im going to be a journalist Dont miss today at 130 pm,,
604524041680977920,BJP Protests against Protestors raise slogans demand Kejriwals clarification,,
604524313849380866,Committed to OROP no doubt about it PM tweets,,
604526296593395712,COngress slams Arvindsnoopgate says AAP govt not fulfilling promises,,
604528977512767488,about film fraternity supporting Salman Khan Dont miss Frankly Speakingtoday at 130 pm,,
604530779364814848,US looking for new ways to complement Indias Act East policy US defence secretary Ashton Carter PTI,,
604534399099531264,Mr Bachchan you have won the case please lie lowBachchanSpeaksToArnab Watch Frankly Speaking today at 130 pm,,
604534741572853761,Mr Bachchan you have won the case please lie lowBachchanSpeaksToArnab Watch Frankly Speaking today at 130 pm,,
604537543623737344,Kohima Six persons including three women arrested for illegal transportation of huge quantity of species of Ginseng  Pangolin scales,,
604538381788311557,George Yeo former FM of Singapore is to be the new Chancellor of Nalanda University,,
604538507512528897,George Yeo former FM of Singapore set to be the new Chancellor of Nalanda University,,
604538738086014976,Union Cabinet recommends repromulgation of land ordinance Official sources PTI,,
604543194978607104,Barabanki UPFood Safety  Drug Administration FSDA gives nod to file case against Nestle India over safety standards of Maggi noodles,,
604544357169926147,We dont want to upset the powers because we are vulnerableBachchanSpeaksToArnab Dont miss ittoday at 130 pm,,
604547503447371777,23 fishermen from Tamil Nadu  Keralaarrested by authorities at Diego Garcia on May 11released,,
604547964145532928,The fishermen were arrested for illegally fishing in the territorial waters of Diego Garcia,,
604548336981401600,23 fishermen from Tamil Nadu  Keralaarrested by authorities at Diego Garcia on May 11released,,
604555801315786752,Watch Frankly Speaking with Arnab Goswami today at 130 pm,,
604558277062492160,ON AIR NOW The unmissable Amitabh Bachchan interview on Frankly Speaking with Arnab Goswami,,
604558893344157697,Acting like a click would be true for any fraternity Amitabh Bachchan,,
604559654568390656,Sometimes what happens is that you are restricted because procedure is legalBachchanSpeaksToArnab on film fraternitys reactions to cases,,
604559777134305281,You dont want to say anything which could disrupt the case on film fraternitys reactions to cases,,
604560044466667520,We have never ever gone against the law And whenever we have we have faced the consequencesBachchanSpeaksToArnab,,
604560773218594816,Dont load every film personality celebrity with woes of countryWe arent accomplished to answer or bear burden,,
604561018035920897,Our entire existence is based on contact which is picked up from public on disconnect with public in certain issues,,
604561133089914880,I will not cross the line where the law is concerned,,
604561397825957888,Has there ever been any effort from the media to find out about some of the other work that the film fraternity doesBachchanSpeaksToArnab,,
604561716949614594,I have taken care of 50 families of farmers who committed suicide Thats not been mentioned anywhere,,
604561808846749698,There are many of us who continue to do work like this independently,,
604561835094732800,I found that a huge number of farmers were comitting suicides for amounts as small as 1000 20000 rupees,,
604562448910123009,There may be truth in the fact that the film fraternity wants to be on the right side of politicians,,
604562643047686144,I think were more concerned with our creative work Were more concerned about how we are going to face the cameraBachchanSpeaksToArnab,,
604562789542207489,I am afraid of doing anything wrong for the fear that the power can make my life miserable BachchanSpeaksToArnab,,
604563186604347394,Even today I am afraid of doing anything wrong for fear that the powers that be because are vulnerableBachchanSpeaksToArnab,,
604563229906305024,The misery that we went through during the Bofors scam has taught me a lesson for life,,
604563381467516928,I will teach that to every generation of mine  dont take on the establishment,,
604563968431038464,Im not interested in taking up any kind of institution that may have wronged somewhere  which is disturbing my lifeBachchanSpeaksToArnab,,
604563993659777024,Bofors was a nightmarish situation,,
604564038798839808,Im not interested in taking up any kind of institution that may have wronged somewhere  which is disturbing my life,,
604564265379299328,Negativity disturbed my creativity I didnt speak about the scam after winning case on Bofors,,
604564553452519424,I was later informed that my name was planted in the scam on Bofors,,
604564567981592576,When you compare us with another film industry or nation our circumstances are different,,
604564783371681792,Not interested in taking on politician Wont take on the government,,
604565148179660800,We do not want to be associated with anything that could become controversialBachchanSpeaksToArnab,,
604565474290987008,If there is a law we have to respect the law on the beef ban,,
604566007114440704,Personally feel that people dont want to get into controversyEventually your end product is going to get hurtBachchanSpeaksToArnab,,
604566042900230144,When media offices are attacke it has the power to take them attackers on The media is very powerful,,
604566088479735808,When media offices are attacked it has the power to take them attackers on The media is very powerful,,
604566741499322368,I will admit that our family has been family friends with the Nehrus  the Gandhis,,
604566884499922944,I will respect that friendship because i respect the association my parents had,,
604567002674397184,But i realized soon after politics that I was not qualified for it and therefore I went away,,
604567105120313347,I only have personal friendships with politicians Doesnt mean I am politically aligned with them,,
604567152071352320,Ive always believed in lifethat once a friend always a friend for meBachchanSpeaksToArnab,,
604567493181505536,Amar Singh has always been a friend and I will always respect him,,
604567702582128640,What Amar Singh wishes to say about me is his prerogative I will not comment on it,,
604567915975733248,Soon as Amar Singh was out of hospital I went and met him,,
604567954173206528,There is no falling out with the Gandhis as far as i am concerned,,
604569536034004992,After the end of 5 years he will be judged again Let those 5 years elapse then we will see on PM Modi,,
604569676400594946,Where am I supporting modi I am only working for Gujarat tourism on PM Modi,,
604569868801708032,When I work for state and culture I do not charge money I do it as a nationalBachchanSpeaksToArnab on associaiton with PM Modi,,
604569944357900288,When I work for state and culture I do not charge money I do it as a nationalBachchanSpeaksToArnab on association with PM Modi,,
604570075903827969,I am not in politics,,
604570693775196162,Association with politicians is inevitableBachchanSpeaksToArnab,,
604570899182854144,When you are in the kind of profession we are in its inevitable that youll be equated withdrawn with politicians,,
604571144285351936,I am not qualified no where even near to these positions BachchanSpeaksToArnab about going for ceremonial positions in the governement,,
604571221376692224,No political party has made overtures to me to campaign for them,,
604571557306855426,I play the role I tend not to bring reality into my roles,,
604571583261253632,I tend not to bring reality into my roles,,
604571653436141568,I just perform the role and thats it The role remains in the studio afterwards,,
604571757542973440,I like to keep a separation I just perform the role and thats it The role remains in the studio afterwards,,
604571817945071616,No I never discussed politics with the Gandhis during the Emergency,,
604571936492953600,Democracy was being curtailed the entire film industry itself was suffering on the 1975 Emergency,,
604572194853683200,There were limitations to what you could show could print on 1975 Emergency,,
604572228299022336,You were told action sequences must not exceed 90 ft on 1975 Emergency,,
604572339544522752,Thats like curbing creativity on 1975 Emergency,,
604572468062339072,Whatever happened in 1984 was terrible and it should never have happenedBachchanSpeaksToArnab on the 1984 Sikh riots,,
604572671645356032,But to say that I was responsible for it is just a lot of rubbishBachchanSpeaksToArnab on the 1984 Sikh riots,,
604572825144324096,I dont want to put my finger into any controversial pie because I think I have had enough of it,,
604572833369309184,No I never spoke to Rajiv Gandhi regarding the 1984 Sikh riots,,
604573137968046080,The kind of connect the audience has had with the film is the reason why Piku has perhaps reached the distance it hasBachchanSpeaksToArnab,,
604573313310982145,I think that audience connect has been more worthy than the compliments for performance on the success of Piku,,
604573413923917824,An audiences connect with a films more important than saying you know your performance was good or whatever it is,,
604573623366516736,I think that connect has been more worthy than the compliments for performance,,
604573986899361792,Whenever I see the younger generation do something good I send them some flowers  write a note to themBachchanSpeaksToArnab,,
604574853241257987,When an actor plays beyond any recognition associated with temperament his characteristicsits a huge achievement,,
604575229424189440,Which is why I appreciated Kangana Ranaut for her filmBachchanSpeaksToArnab on Ranauts perfomance in,,
604575896385691648,Working for me is a necessity I am insecure financially  therefore I need to keep working as there were debts on meBachchanSpeaksToArnab,,
604576079148281856,The very people that used to virtually touch your feet embrace you were the very people who came and abused youBachchanSpeaksToArnab,,
604576248854020096,I am really indebted to people of the country because they have stayed with me  continue to see some of my filmsBachchanSpeaksToArnab,,
604576524205842432,I was told that I dont need to work anymore in the 90s so I took a sabbatical That was the biggest mistake I madeBachchanSpeaksToArnab,,
604603316601913344,AK Antonys claims on are baseless Arun Jaitley,,
604604739603464192,Unmissable at 8 pm this evening An Amitabh Bachchan interview like youve never seen before,,
604607694398320640,Govt decides to repromulgate the controversial land Ordinance,,
604608166546964480,1st classAC coach fares in passenger trains besides freight charges to go up by 05 from June 1 as new service tax comes into effect PTI,,
604608594688884737,The BJPled Centre has given a corruption free government in the last one year BJP national spokesperson Nalin Kohli,,
604608804995526656,The institution of Prime Minister has regained its lost glory and respect BJP national spokesperson Nalin Kohli,,
604612824816455680,HM Rajnath Singh arrives in RaipurChhattisgarh on a two day visit to the state,,
604612884081942528,HM Rajnath Singh arrives in Raipur Chhattisgarh on a two day visit to the state,,
604615500862087168,Mild tremors reported in certain parts of the country IMD,,
604615984301752323,Massive earthquake of 85 on Richter scale hits Japan Reports,,
604616164572930050,UPDATE 78 magnitude earthquake strikes 194 km off Japans Bonin Islands,,
604619231875842048,Modi in amazing hurry to grab land from poor farmers at any cost A 3rd attempt at pushing anti farmer Land OrdinanceRahul Gandhi,,
604619403452235776,Congress Party will continue to fight for the rights of the kisan and mazdoor against this suitboot ki sarkar Rahul Gandhi,,
604621366126510080,Union Mins smritiirani  to participate in a answer questions posed to them via Twitter,,
604625664390479872,PM meets students from Jammu and Kashmir,,
604627327058780160,Assurance bet Raj govtKirori Bainsla will be lost in legal hurdleswith no benefits reaching communityGujjar leader Ramvir Singh Bidhuri,,
604627774532284416,Uttarakhand CM Harish Rawat orders inquiry into alleged inflated forged bills submitted by state govt officials during flood relief works,,
604629193830203392,Have scientists discovered the HIV Achilles heel READ and find out,,
604631504472252416,Twitter with smritiirani  begins,,
604637732850106370,Derecognition of students groupmany of who are Dalitsamounts to curbing fundamental rights of free speechexpressionNitish Kumar on IITM,,
604639839623905280,After ruled out revocation of AFSPA from JK CM Mufti Mohammad Sayeed says his govt would achieve its objective PTI,,
604640788820008960,ExEngland Manchester United defender Rio Ferdinand retires,,
604641957684477952,National Conference sites Tripuras example seeks immediate revocation of AFSPA from Jammu and Kashmir PTI,,
604642030774386688,Rahul Gandhis allegations on land bill are misleading and false Union Minister Ravi Shankar Prasad,,
604642436673990656,Please explain whats happening in Ukhand We heard about 2Gcoal scam  now even during a natural calamity Ravi Shankar Prasad to Rahul,,
604644784293044224,David Gill refuses vicepresidential role post Stepp Blatters reelection as FIFA President,,
604653417873539072,We will get the complete economic freedom 57 years But people will get the feeling of economic change in three years HM Rajnath Singh,,
604655162980900864,GoAirs CCO Jordan quits,,
604656416893202433,ON AIR now  I want to be where you are and ask difficult penetrating questions,,
604662611381096448,WB CM confirms she will visit Bangladesh on June 5  return on June 6 after signing of the Land Boundary Agreement,,
604666519012835328,Alastair Cook becomes Englands highestever runscorer in Test cricket,,
604671149805469698,FDI in multibrand retail a no no says Nirmala Sitharaman clarify the governments position on the issue,,
604671431708770304,FDI in multibrand retail a no no says Nirmala Sitharaman clarifying the governments position on the issue,,
604672729430630400,NC calls for revocation of AFSPA from JK READ all about it,,
604673716950138881,Heatwave death toll crosses 1600 mark in Andhra Pradesh today with 146 more persons losing their lives in the last 24 hours,,
604674202587688961,Overall death toll in heat wave sweeping across country rises to 2207 with 202 more deaths being reported from APTelangana  Odisha,,
604680659831943168,The state of Delhi already has 100 documents RP Singh BJP National Secretary,,
604681135486951424,Where in the document does it say Delhi govt is going to snoop on every Delhi citizenSatinath Sarangi Social Activist,,
604681658743189505,Purpose of surveillance in govt offices is so theres no repeat of corruption like what took place during CWG S Sarangi,,
604682099778387968,Even Hitlers document didnt state the obvious RP Singh BJP National Secretary,,
604682145076871168,Even Hitlers document didnt state the obvious RP Singh BJP National Secretary,,
604682818602434560,Is Kejriwal trying to get powers to snoop on pvt phone conversations That is an illegal thing to do Arun Bhatia,,
604683000194809856,Even Hitlers document didnt state the obvious Tom Vadakkan Congress national spokesperson,,
604683079156789248,The state of Delhi already has 100 documentsTom Vadakkan Congress national spokesperson,,
604683390973931520,The more dangerous thing is allowing phone conversations to be recorded without anyones knowledge Arun Bhatia,,
604683892004560896,Mass surveillance is something from a figment of your imagination Satinath Sarangi Social Activist,,
604684246590976000,It is the BJP that snoops on NGOs Satinath Sarangi Social Activist,,
604684466640941056,This is just one of the ways if you use it correctly to fight corruption Satinath Sarangi Social Activist,,
604684777577250816,We have a govt in the Centre which is in cahoots with criminal corporations Satinath Sarangi Social Activist,,
604685080561250305,I would like to ask Kejriwal  the AAP what happened to the Lokayukta Youve not done anything about that Arun Bhatia,,
604685147124830208,I would like to ask Kejriwal  the AAP what happened to the Lokayukta Youve not done anything about that Arun Bhatia,,
604685493087789056,Give us strong institutions which will fight corruption no matterwhich government is in power Arun Bhatia,,
604685608921882624,I look forward to the day they will appoint a Lokayukta and they will Satinath Sarangi Social Activist,,
604685801796964352,Last time you quit Delhi it was on the issue of the Lokayukta now it is kept in the freezer Tom Vadakkan,,
604687127427710976,Neither the Congress nor BJP are paragons of virtue Corruption took place during both regimes Arun Bhatia,,
604687931618369536,Are you trying to create chaos  anarchy You have a power problem water problemWhat are you doing about itTom Vadakkan,,
604688888997683201,The writings on the wallMany CMs have come  gonePeople of Delhi will take to streets if this doesnt stopTom Vadakkan,,
604689213938745344,We object to the kind of snooping the Modi govt resorted to in Guj to snoop on an innocent woman Satinath Sarangi,,
604689931143802880,Turn your guns to your party and you will find what corruption is about Tom Vadakkan to Satinath Sarangi,,
604695265375682560,HM Rajnath Singh takes up the Badminton raquet after inaugurating Police Sports Complex building in Raipur,,
604701336190394368,Trinamool Congress has decided to hit the streets from June 20 to highlight the communal politics of the Bharatiya Janata Party government,,
604703015849750528,Gurpreet Singh misses berth in Rio Olympicsfinishes 4th in Mens 25mtr Rapid Fire Pistol event at World Cup shooting competition,,
604707645472112640,VIDEO REPORT Rahul attacks PM on Land ordinance,,
604709870223257601,Shahnawaz Hussain asks Muslims to demand ban on sale of beef in their states to promote communal harmony PTI,,
604716443611963393,Nestle officials assure actress Madhuri Dixit that there would be no compromise on the quality of Maggi noodles,,
604842019702382592,President Pranab Mukherjee to leave for his visit to Sweden and Belarus today,,
604842121003155456,President Pranab Mukherjee to leave for his visit to Sweden and Belarus today,,
604843951309365249,Fresh terror posters by terror group warning telecom operators to wind up or face consequence emerge in Jammu and Kashmir,,
604844066493353984,Fresh posters by terror group warning telecom operators to wind up or face consequence emerge in Jammu and Kashmir,,
604847767186456576,Srinagar Fire at Nawai Sub complex near NC office five fire tenders rushed to the spotno casualties reported,,
604847905757888512,Srinagar Fire at Nawai Sub complex near NC office 5 fire tenders rushed to the spotno casualties reported,,
604852079526559745,Delhi University to go for the implementation of the ChoiceBased Credit System CBCS as mandated by UGC,,
604854255560695808,BJP not given up stand on repeal of Art 370 Union Minister Jitendra Singh PTI,,
604854342219231232,Contentious issues in JK put on backburner keeping in mind coalition dharma with PDP Union Minister Jitendra Singh PTI,,
604855273187078144,Encounter on between Army  infiltrators near LoC in Tangdhar district of KupwaraJK,,
604856099192356867,Major infiltration bid foiled by Army near LoC in Kupwara JK fierce gunbattle underway,,
604858898915426305,Top quality masks antiUV glasses for Delhi traffic cops braving harsh sun  pollution while managing traffic PTI,,
604860137157763073,PM Modi likely to flag off Gatimaan Express 1st semi highspeed train service between Delhi and Agra in 2nd week of June,,
604865863762755585,New Delhi Final arguments in 2G scam case to commence before a special court tomorrow PTI,,
604868618795552768,Punjab govt places orders for room bugsbutton cameras  bug detectors to reportedly snoop on govt officials,,
604868840355438592,Cant snoop on people of India PM Modi must step in and deal with the matter Congress on,,
604873037020807168,SC agrees to hear plea on framing guidelines on birds seizure to prohibit imposition of inhumane conditions of tagging  stamping them,,
604876816122191872,The Indian mobile gaming mkt one of the fastest expanding markets in the world to cross 571 million by 2016 Study,,
